id,obj_1,obj_2,obj_3,odd,reason_for_similarity,obj_4
3612,Gold,Yellow,Lemon,Ruby,The others are shades of yellow,Ruby
3613,Violet,Lavender,Lilac,Peach,The others are shades of purple,Peach
3615,Charcoal,Ivory,Beige,Charcoal,The others are shades of white,Cream
3616,White,Green,Gray,Green,The others are grayscale colors,Black
3614,Tan (color),Beige,Brown,Burgundy,The others are shades of brown,Burgundy (color)
3617,Sapphire,Tangerine,Peach,Sapphire,The others are shades of orange,Apricot
3618,Bronze,Brass,Copper,Pearl,The others are metallic colors,Pearl
3619,Gray,Purple,Black,Purple,The others are shades of black and white,White
3620,Blue,Pink,Indigo,Pink,The others are colors of the rainbow,Violet
3621,Turquoise,Maroon,Teal,Maroon,The others are shades of blue-green,Aqua
3622,Lemon,Peach,Coral,Lemon,The others are shades of red-orange,Salmon
3624,Daisy,Violet,Lavender,Daisy,The others are named after purple flowers,Lilac
3625,Strawberry,Banana,Raspberry,Banana,The others are named after red fruits,Cherry
3626,Cinnamon,Jade,Fern,Cinnamon,The others are named after green plants,Mint
3627,Caramel,Amber,Chocolate,Chocolate,The others are named after yellow-brown substances,Honey
3628,Brass,Bronze,Copper,Platinum,The others are named after brown metals,Platinum
3629,Teal,Maroon,Wine,Teal,The others are shades of dark red,Cardinal
3631,Grape,Currant,Lemon,Lemon,The others are named after purple fruits,Plum
3632,Cinnamon,Mint,Jade,Cinnamon,The others are named after green gemstones,Emerald
3633,Pink,Grey,White,Pink,The others are neutral colors,Black
3634,Onyx,Charcoal,Ebony,Pearl,The others are shades of black,Pearl
3635,Coco Chanel,Karl Lagerfeld,Marc Jacobs,Ralph Lauren,The others are European designers.,Ralph Lauren
3636,Brutalism,Art Deco,Cubism,Cubism,The others are architectural styles.,Bauhaus
3637,Chanel,Nike,Gucci,Nike,The others are high-end luxury fashion brands.,Louis Vuitton
3638,Adidas,Prada,Gucci,Adidas,The others are Italian fashion brands.,Versace
3639,Postmodernism,Art Nouveau,Brutalism,Art Nouveau,The others are 20th century architectural styles,Modernism
3640,De Stijl,Cubism,Art Deco,Cubism,The others are design movements,Bauhaus
3641,Futura,Garamond,Papyrus,Papyrus,The others are fonts named after places,Georgia
3642,Walter Gropius,Charles Eames,Mies van der Rohe,Charles Eames,The others are associated with the Bauhaus,Le Corbusier
3643,Frank Lloyd Wright,Saul Bass,Milton Glaser,Frank Lloyd Wright,The others are graphic designers,Paul Rand
3644,Dolce & Gabbana,Versace,Jeff Bezos,Jeff Bezos,The others are Italian fashion designers,Giorgio Armani
3645,Florence Knoll,Donatella Versace,Eero Saarinen,Donatella Versace,The others are furniture designers,Charles Eames
3646,Philippe Starck,Karim Rashid,Marcel Wanders,Calvin Klein,The others are product designers,Calvin Klein
3647,Gianni Versace,Christian Dior,Louis Vuitton,Gianni Versace,The others are French designers,Coco Chanel
3648,Prada,Burberry,Versace,Burberry,The others are Italian designers,Gucci
3649,Vera Wang,Jean Paul Gaultier,Jason Wu,Jean Paul Gaultier,The others are American designers of Chinese descent,Anna Sui
3650,Paul Smith,Alexander McQueen,Versace,Versace,The others are British designers,Burberry
3651,Hugo Boss,Ralph Lauren,Karl Lagerfeld,Ralph Lauren,The others are German designers,Jil Sander
3652,Versace,Gucci,Chanel,Chanel,The others are Italian brands,Prada
3653,Calvin Klein,Louis Vuitton,Christian Dior,Calvin Klein,The others are French brands,Givenchy
3654,St. Peter's Basilica,Notre-Dame Cathedral,The White House,The White House,The others are religious buildings,Westminster Abbey
3655,The Pantheon,The Parthenon,The Temple of Artemis,The Statue of Liberty,The others are ancient temples,The Statue of Liberty
3656,The Gherkin,The Shard,The Louvre Pyramid,The Louvre Pyramid,The others are skyscrapers,The Burj Khalifa
3657,The Empire State Building,The Flatiron Building,The Leaning Tower of Pisa,The Leaning Tower of Pisa,The others are in New York,The Chrysler Building
3658,The Guggenheim Bilbao,The Sydney Opera House,The Taj Mahal,The Taj Mahal,The others are modern architecture,The Walt Disney Concert Hall
3659,The Acropolis,The Roman Forum,Machu Picchu,The Eiffel Tower,The others are ruins,The Eiffel Tower
3660,The Colosseum,The Great Wall of China,The Pantheon,The Great Wall of China,The others are in Rome,The Forum
3661,The Burj Khalifa,One World Trade Center,The Petronas Towers,The Leaning Tower of Pisa,The others are tallest buildings,The Leaning Tower of Pisa
3662,The Walkie Talkie,The Gherkin,The Shard,The White House,The others are in London,The White House
3663,The Burj Al Arab,The Taipei 101,The Colosseum,The Colosseum,The others are modern skyscrapers,The Petronas Towers
3664,The Eiffel Tower,The Parthenon,The Erechtheion,The Eiffel Tower,The others are in Athens,The Temple of Hephaestus
3665,The Buckingham Palace,The White House,The Windsor Castle,The White House,The others are in England,The Tower of London
3666,The Eiffel Tower,Topkapi Palace,The Hagia Sophia,The Eiffel Tower,The others are in Istanbul,The Blue Mosque
3667,The Willis Tower,The CN Tower,The Empire State Building,The Colosseum,The others are towers,The Colosseum
3668,Gothic Architecture,Renaissance Architecture,Baroque Architecture,Brutalist Architecture,The others are pre-20th century architectural styles,Brutalist Architecture
3669,The White House,The Empire State Building,The Capitol Building,The Empire State Building,The others are in Washington D.C,The Washington Monument
3670,The Parthenon,The Louvre,The Pantheon,The Louvre,The others are ancient Roman structures,The Colosseum
3671,The Flatiron Building,The Golden Gate Bridge,The Chrysler Building,The Golden Gate Bridge,The others are in New York City,The Empire State Building
3672,The Louvre Pyramid,The Luxor Hotel,The Pyramids of Giza,The Pyramids of Giza,The others are modern glass structures,The Glass Pyramid of The Moody Gardens
3673,Casa Mila,Park Guell,The White House,The White House,The others are designed by Antoni Gaudi,The Sagrada Familia
3674,The Leaning Tower of Pisa,The Eiffel Tower,The Great Wall of China,The Great Wall of China,The others are freestanding structures,The Statue of Liberty
3675,The Guggenheim Museum Venice,The Guggenheim Museum Bilbao,The Guggenheim Museum New York,The Louvre,The others are Guggenheim museums,The Louvre
3676,The Western Wall,The Great Wall of China,The CN Tower,The CN Tower,The others are walls,The Berlin Wall
3677,The Flatiron Building,The Empire State Building,The Golden Gate Bridge,The Golden Gate Bridge,The others are famous New York buildings,The Chrysler Building
3678,The Louvre,The Harbour Bridge,The Sydney Opera House,The Louvre,The others are located in Sydney,The Queen Victoria Building
3679,The Topkapi Palace,The Blue Mosque,The Buckingham Palace,The Buckingham Palace,The others are located in Istanbul,The Hagia Sophia
3680,The Palm Jumeirah,The Burj Khalifa,The Burj Al Arab,The Eiffel Tower,The others are located in Dubai,The Eiffel Tower
3681,The Forbidden City,The Great Wall of China,The Summer Palace,The Sydney Opera House,The others are located in Beijing,The Sydney Opera House
3682,The Taj Mahal,The Lotus Temple,The Qutb Minar,The White House,The others are located in India,The White House
3683,Golden Gate Bridge,Alcatraz Island,The Shard,The Shard,The others are in San Francisco,Fisherman's Wharf
3684,Rosemary,Paprika,Saffron,Rosemary,The others are used in curry,Turmeric
3685,Fennel,Coriander,Cumin,Coriander,The others are licorice-flavored spices,Anise
3686,Cayenne,Thyme,Bay leaves,Cayenne,The others are used in French cuisine,Tarragon
3687,Cumin,Cinnamon,Turmeric,Cinnamon,The others are used in Turmeric Latte,Coriander
3688,Nutmeg,Black Pepper,Cayenne Pepper,Nutmeg,The others are hot spices,Chili Powder
3689,Parsley,Dill,Rosemary,Paprika,The others are used in Ranch seasoning,Paprika
3690,Cinnamon,Parsley,Cilantro,Cinnamon,The others are leafy herbs,Dill
3691,Cinnamon,Vanilla,Paprika,Paprika,The others are used in desserts,Saffron
3692,Cayenne Pepper,Garlic Powder,Ginger Powder,Cayenne Pepper,The others are powdered form of root spices,Onion Powder
3693,Rosemary,Thyme,Cardamom,Cardamom,The others are used in Poultry Seasoning,Sage
3694,Ginger,Saffron,Paprika,Ginger,The others are red spices,Turmeric
3695,Parsley,Black Pepper,Basil,Black Pepper,The others are used in Italian Seasoning,Oregano
3696,Cumin,Vanilla,Fenugreek,Vanilla,The others are used in Ethiopian Berbere Spice,Coriander
3697,Cardamom,Nutmeg,Basil,Basil,The others are used in Gingersnap Cookies,Cinnamon
3698,Allspice,Clove,Cinnamon,Turmeric,The others are used in Jamaican Jerk Seasoning,Turmeric
3699,Basil,Turmeric,Saffron,Basil,The others are used in Indian cuisine,Cumin
3700,Thyme,Star Anise,Anise,Thyme,The others have a licorice flavor,Fennel
3701,Cilantro,Paprika,Cayenne,Cilantro,The others are types of peppers,Chili Powder
3702,Cumin,Coriander,Turmeric,Cinnamon,The others are used in curry powder,Cinnamon
3703,Sage,Mace,Nutmeg,Sage,The others come from the Myristica genus,Clove
3704,Clove,Bay Leaf,Cinnamon,Bay Leaf,The others are used in pumpkin spice,Allspice
3705,Galangal,Turmeric,Saffron,Saffron,The others are rhizomes,Ginger
3706,Onion Powder,Garlic Powder,Ginger Powder,Curry Powder,The others are single-ingredient powders,Curry Powder
3707,Oregano,Rosemary,Basil,Saffron,The others are Italian herbs,Saffron
3708,Ginger,Clove,Cinnamon,Ginger,The others are tree spices,Nutmeg
3709,Red Pepper Flakes,Black Pepper,Chili Powder,Black Pepper,The others are made from capsicum peppers,Cayenne Pepper
3710,Parsley,Basil,Dill,Rosemary,The others are soft herbs,Rosemary
3711,Cinnamon,Mace,Allspice,Allspice,The others are from the Myristica genus,Nutmeg
3712,Turmeric,Cumin,Curry Powder,Cumin,The others are spice blends,Garam Masala
3713,Onion,Ginger,Garlic,Turmeric,The others are allium spices,Turmeric
3714,Cumin,Fennel,Star Anise,Cumin,The others are anise-flavored spices,Anise
3715,Basil,Dill,Parsley,Basil,The others are used in salsa,Cilantro
3716,Cardamom,Cumin,Coriander,Cardamom,The others are used in pickling spices,Fennel
3717,Allspice,Cinnamon,Saffron,Saffron,The others are used in mulled wine,Clove
3718,Cumin,Coriander,Cardamom,Cardamom,The others are used in harissa,Caraway
3719,Onion,Ginger,Garlic,Saffron,The others are used in stir-fry,Saffron
3720,Rosemary,Thyme,Cumin,Cumin,The others are used in herbes de Provence,Oregano
3721,Fennel,Star Anise,Anise,Cumin,The others are used in Chinese five-spice,Cumin
3722,Black Pepper,Rosemary,Cinnamon,Cinnamon,The others are savory spices,Cumin
3723,Cumin,Star Anise,Cloves,Saffron,The others are used in Chinese cooking,Saffron
3724,Nutmeg,Cinnamon,Cloves,Oregano,The others are used in sweet dishes,Oregano
3725,Coriander,Turmeric,Cumin,Thyme,The others are used in Indian cooking,Thyme
3726,Saffron,Basil,Oregano,Saffron,The others are used in Italian cooking,Thyme
3727,Rosemary,Cardamom,Thyme,Cardamom,The others are used in Western cooking,Parsley
3728,Saffron,Turmeric,Paprika,Mint,The others are used in paella,Mint
3729,Mustard,Cinnamon,Ginger,Cinnamon,The others are used in pickling,Turmeric
3730,Nutmeg,Basil,Ginger,Basil,The others are used in gingerbread,Cinnamon
3731,Cumin,Coriander,Oregano,Oregano,The others are used in Middle Eastern cooking,Fenugreek
3732,Cinnamon,Nutmeg,Allspice,Saffron,The others are used in pumpkin pie,Saffron
3733,Nutmeg,Mace,Cinnamon,Paprika,The others are used in apple pie,Paprika
3734,Paprika,Mint,Cayenne Pepper,Mint,The others are used in chili,Chili Powder
3735,Thyme,Bay Leaf,Rosemary,Ginger,The others are used in roasts,Ginger
3736,Cumin,Turmeric,Coriander,Cinnamon,The others are used in Tandoori Masala,Cinnamon
3737,Star Anise,Cinnamon,Cloves,Dill,The others are used in Pho,Dill
3738,Rosemary,Thyme,Bay Leaf,Cinnamon,The others are used in Bouquet Garni,Cinnamon
3739,Cumin,Coriander,Cardamom,Thyme,The others are used in Chai tea,Thyme
3740,Saffron,Chili Powder,Paprika,Saffron,The others are used in hot sauce,Cayenne Pepper
3741,Cinnamon,Basil,Turmeric,Basil,The others are ground spices,Paprika
3742,Cinnamon,Nutmeg,Ginger,Ginger,The others are used in pumpkin pie spice,Allspice
3743,Cinnamon,Ginger,Cardamom,Parsley,The others are used in chai tea,Parsley
3744,Cumin,Cayenne,Paprika,Turmeric,The others are red,Turmeric
3745,Saffron,Chili,Cayenne,Saffron,The others are spicy,Paprika
3746,Cumin,Saffron,Cayenne,Cayenne,The others are yellow,Turmeric
3747,Rosemary,Thyme,Basil,Paprika,The others are used in poultry seasoning,Paprika
3748,Coriander,Paprika,Cardamom,Paprika,The others are used in Biryani,Cumin
3749,Cayenne,Cinnamon,Nutmeg,Cayenne,The others are used in eggnog,Clove
3750,Cayenne,Saffron,Turmeric,Cayenne,The others are used in Ayurveda,Ginger
3751,Nutmeg,Coriander,Clove,Coriander,The others are used in Christmas cookies,Cinnamon
3752,Turmeric,Salt,Cumin,Salt,The others are ground from seeds,Paprika
3753,Basil,Coriander,Cilantro,Basil,The others are from the Apiaceae family,Parsley
3754,Flax Seeds,Mustard Seeds,Sesame Seeds,Flax Seeds,The others are used in spice blends,Cumin Seeds
3755,Basil,Chives,Parsley,Basil,The others are French cuisine herbs,Tarragon
3756,Cumin,Chili Powder,Paprika,Cumin,The others are types of chili,Cayenne
3757,Clove,Mace,Cinnamon,Cinnamon,The others are from the Myristica fragrans tree,Nutmeg
3758,Cinnamon,Nutmeg,Bay Leaves,Nutmeg,The others are types of Cinnamomum,Cassia
3759,Thyme,Oregano,Basil,Cumin,The others are used in Italian seasoning,Cumin
3760,Clove,Cumin,Coriander,Clove,The others are used in Madras curry powder,Fenugreek
3761,Nutmeg,Allspice,Cumin,Cumin,The others are used in gingerbread spice,Cinnamon
3762,Cumin,Galangal,Ginger,Cumin,The others are from the Zingiberaceae family,Turmeric
3763,Mustard,Turmeric,Clove,Clove,The others are used in American yellow mustard,Coriander
3764,Turmeric,Saffron,Cumin,Cumin,The others are used to color dishes,Paprika
3765,Cumin,Coriander,Turmeric,Pepper,The others are ingredients in Garam Masala,Pepper
3766,Cardamom,Nutmeg,Mace,Cardamom,The others are derived from the Myristica genus,Cloves
3767,Fenugreek,Mustard,Caraway,Anise,The others are ingredients in Indian Pickles,Anise
3768,Cardamom,Saffron,Vanilla,Cumin,The others are the world's most expensive spices,Cumin
3769,Garlic,Pepper,Onion,Pepper,The others are also used as vegetables,Ginger
3770,Paprika,Saffron,Cumin,Cumin,The others can dye fabric,Turmeric
3771,Mace,Nutmeg,Cloves,Fennel,The others are used in making Bechamel Sauce,Fennel
3772,Coriander,Cumin,Saffron,Saffron,The others are used in making Rye Bread,Fennel
3773,Nutmeg,Cinnamon,Mace,Pepper,The others are used in Egg Nog,Pepper
3774,Coriander,Ginger,Cumin,Ginger,The others are used in making Curry Powder,Cloves
3775,Turmeric,Paprika,Saffron,Cinnamon,The others are used in Paella,Cinnamon
3776,Pepper,Coriander,Caraway,Pepper,The others are used in making Harissa,Cumin
3777,Cumin,Onion,Ginger,Cumin,The others can be eaten raw,Garlic
3778,Salt,Pepper,Paprika,Cumin,The others are table condiments,Cumin
3779,Cumin,Coriander,Ginger,Ginger,The others are used in making Pickles,Fennel
3780,Ginger,Nutmeg,Mace,Ginger,The others are used in making Mulled Wine,Cloves
3781,Cumin,Coriander,Caraway,Pepper,The others are used in making Moroccan Spice Blend,Pepper
3782,Nutmeg,Mace,Cinnamon,Pepper,The others are used in making Apple Pie,Pepper
3783,Cilantro,Parsley,Ginger,Ginger,The others are used in making Chimichurri,Coriander
3784,Fennel,Star Anise,Oregano,Oregano,The others are licorice-flavored,Anise
3785,Cilantro,Dill,Parsley,Clove,The others are fresh herbs,Clove
3786,Caraway,Thyme,Rosemary,Caraway,The others are poultry seasoning,Sage
3787,Basil,Cilantro,Saffron,Saffron,The others are green herbs,Parsley
3788,Anise Seed,Rosemary,Star Anise,Rosemary,The others have anise flavor,Fennel
3789,Pink Pepper,Chili Powder,Black Pepper,Chili Powder,The others are peppercorns,White Pepper
3790,Clove,Allspice,Basil,Basil,The others are in apple pie spice,Nutmeg
3791,Rosemary,Thyme,Sage,Ginger,The others are used in stuffing,Ginger
3792,Paprika,Saffron,Cardamom,Cardamom,The others are used for coloring,Turmeric
3793,White Pepper,Black Pepper,Red Pepper,Red Pepper,The others are from the Piper nigrum plant,Green Pepper
3794,Saffron,Cardamom,Vanilla,Cumin,The others are the most expensive spices,Cumin
3795,Paprika,Curry Powder,Chili Powder,Curry Powder,The others are made from dried peppers,Cayenne Pepper
3796,Nutmeg,Ginger,Cinnamon,Turmeric,The others are used in pumpkin spice blend,Turmeric
3797,Sesame Seeds,Sunflower Seeds,Poppy Seeds,Sunflower Seeds,The others are used in bagel seasoning,Mustard Seeds
3798,Thyme,Sumac,Za'atar,Za'atar,The others are individual spices,Oregano
3799,Pink Pepper,Black Pepper,White Pepper,Pink Pepper,The others are different stages of the same plant,Green Pepper
3800,Mint,Parsley,Basil,Mint,The others are used in salsa verde,Cilantro
3801,Cardamom,Allspice,Nutmeg,Cardamom,The others are used in apple pie spice blend,Cinnamon
3802,White Pepper,Chili Pepper,Cayenne Pepper,Cayenne Pepper,The others are used in pepper mill,Black Pepper
3803,Cardamom,Turmeric,Ginger,Cumin,The others are used in Golden Milk,Cumin
3804,Cumin,Chili Powder,Cayenne,Cumin,The others are used in Taco seasoning,Paprika
3805,Star Anise,Cinnamon,Cloves,Cloves,The others are used in Chinese Five Spice,Fennel
3806,Paprika,Cumin,Coriander,Paprika,The others are common in Indian cuisine,Turmeric
3807,Thyme,Basil,Oregano,Chili Powder,The others are from the Lamiaceae family,Chili Powder
3808,Salt,Red Pepper Flakes,Cayenne Pepper,Salt,The others are types of Capsicum spices,Paprika
3809,Fennel,Star Anise,Anise,Clove,The others have aniseed flavor,Clove
3810,Vanilla,Oregano,Saffron,Oregano,The others are often used in sweet dishes,Cardamom
3811,Oregano,Thyme,Rosemary,Tarragon,The others are in the mint family,Tarragon
3812,Mustard,Caraway,Coriander,Mustard,The others are used in rye bread,Cumin
3813,Basil,Rosemary,Dill,Dill,The others are used in pesto,Mint
3814,Paprika,Chili Powder,Ginger,Ginger,The others are types of chili peppers,Cayenne
3815,Garlic,Cumin,Ginger,Cumin,The others are alliums,Onion
3816,Clove,Saffron,Turmeric,Saffron,The others are tree-derived spices,Cinnamon
3817,Nutmeg,Pepper,Cinnamon,Pepper,The others are from Myristica genus,Mace
3818,Mustard,Cardamom,Cumin,Cardamom,The others are used in mustard sauce,Pepper
3819,Chili,Paprika,Cayenne,Turmeric,The others are types of Capsicum,Turmeric
3820,Nutmeg,Mace,Clove,Ginger,The others are from Myristicaceae family,Ginger
3821,Mustard,Salt,Paprika,Paprika,The others are used in hot dogs,Pepper
3822,Cumin,Saffron,Turmeric,Cumin,The others are red when ground,Paprika
3823,Fennel,Dill,Anise,Pepper,The others are used in absinthe,Pepper
3824,Garlic,Onion,Saffron,Saffron,The others are used in stir fry,Ginger
3825,Ginger,Cumin,Fennel,Ginger,The others are used in pickles,Coriander
3826,Salt,Pepper,Cardamom,Cardamom,The others are used in barbecue sauce,Mustard
3827,Onion,Pepper,Garlic,Saffron,The others are used in guacamole,Saffron
3828,Rosemary,Fenugreek,Oregano,Fenugreek,The others are from Lamiaceae family,Thyme
3829,Clove,Star Anise,Cinnamon,Paprika,The others are from Lauraceae family,Paprika
3830,Ginger,Fennel,Tarragon,Ginger,The others are from Asteraceae family,Anise
3831,Saffron,Cardamom,Ginger,Saffron,The others are from Zingiberaceae family,Turmeric
3832,Cumin,Turmeric,Cardamom,Basil,The others are Indian spices.,Basil
3833,Paprika,Cayenne Pepper,Black Pepper,Oregano,The others are peppers.,Oregano
3834,Nutmeg,Parsley,Dill,Nutmeg,The others are herbs.,Cilantro
3835,Ginger,Cinnamon,Clove,Ginger,The others are baking spices.,Nutmeg
3836,Turmeric,Cinnamon,Paprika,Cinnamon,The others are colorants.,Saffron
3837,Thyme,Basil,Rosemary,Allspice,The others are Mediterranean herbs.,Allspice
3838,Ginger,Saffron,Onion,Saffron,The others are root spices.,Garlic
3839,Thyme,Sage,Rosemary,Cumin,The others are poultry spices.,Cumin
3840,Fennel,Nutmeg,Star Anise,Nutmeg,The others are licorice-flavored.,Aniseed
3841,Allspice,Clove,Nutmeg,Ginger,The others are sweet spices.,Ginger
3842,Cumin,Basil,Coriander,Basil,The others are in the parsley family.,Caraway
3843,Star Anise,Shallot,Garlic,Star Anise,The others are alliums.,Onion
3844,Cayenne Pepper,Saffron,Chili Powder,Saffron,The others are made from chilies.,Paprika
3845,Allspice,Clove,Cinnamon,Turmeric,The others are used in mulled wine.,Turmeric
3846,Ginger,Cilantro,Parsley,Ginger,The others are in the Apiaceae family.,Coriander
3847,Mace,Rosemary,Nutmeg,Rosemary,The others are from the Myristicaceae family.,Allspice
3848,Thyme,Basil,Paprika,Paprika,The others are in the mint family.,Oregano
3849,Cumin,Fenugreek,Mustard,Garlic,The others are in the mustard family.,Garlic
3850,Cumin,Thyme,Rosemary,Cumin,The others are in the Lamiaceae family.,Oregano
3851,Ginger,Cardamom,Turmeric,Saffron,The others are in the Zingiberaceae family.,Saffron
3852,Cinnamon,Garlic,Leek,Cinnamon,The others are in the Allium family.,Onion
3853,Cinnamon,Cassia,Paprika,Paprika,The others are in the Lauraceae family.,Sassafras
3854,Clove,Nutmeg,Mace,Ginger,The others are in the Myristicaceae family.,Ginger
3855,Cardamom,Eucalyptus,Tea Tree,Cardamom,The others are in the Myrtaceae family.,Clove
3856,Potato,Radish,Carrot,Potato,The others are root vegetables,Beetroot
3857,Cauliflower,Broccoli,Spinach,Spinach,The others are cruciferous vegetables,Cabbage
3858,Onion,Garlic,Leek,Cucumber,The others are allium vegetables,Cucumber
3859,Carrot,Tomato,Cucumber,Carrot,The others are fruits,Bell Pepper
3860,Potato,Pumpkin,Cucumber,Potato,The others are from the gourd family,Zucchini
3861,Spinach,Kale,Lettuce,Corn,The others are leafy greens,Corn
3862,Asparagus,Brussels Sprouts,Cabbage,Asparagus,The others are from the Brassica genus,Kale
3863,Zucchini,Pumpkin,Radish,Radish,The others are from the Cucurbitaceae family,Cucumber
3864,Broccoli,Beetroot,Spinach,Broccoli,The others are from the Amaranthaceae family,Swiss Chard
3865,Bell Pepper,Tomato,Eggplant,Carrot,The others are from the Solanaceae family,Carrot
3866,Onion,Lettuce,Kale,Onion,The others are leaf vegetables,Cabbage
3867,Chili Pepper,Cucumber,Bell Pepper,Cucumber,The others are peppers,Jalapeno
3868,Tomato,Asparagus,Cauliflower,Tomato,The others are perennial vegetables,Broccoli
3869,Onion,Leek,Garlic,Spinach,The others are from the Allium genus,Spinach
3870,Spinach,Kale,Swiss Chard,Broccoli,The others are rich in Iron,Broccoli
3871,Tomato,Eggplant,Bell Pepper,Corn,The others are from the Nightshade family,Corn
3872,Squash,Pumpkin,Zucchini,Potato,The others are from the Cucurbita genus,Potato
3873,Carrot,Onion,Garlic,Carrot,The others are from the Allium family,Leek
3874,Cucumber,Sweet Potato,Yam,Cucumber,The others are tubers,Potato
3875,Corn,Barley,Wheat,Carrot,The others are types of grains,Carrot
3876,Asparagus,Potato,Celery,Potato,The others are stem vegetables,Fennel
3877,Cucumber,Eggplant,Tomato,Radish,The others are nightshades,Radish
3878,Green beans,Asparagus,Broccoli,Potato,The others are green vegetables,Potato
3879,Pumpkin,Zucchini,Acorn squash,Zucchini,The others are winter squashes,Butternut squash
3880,Parsley,Onion,Carrot,Onion,The others are apiaceae family,Celery
3881,Habanero,Jalapeno,Bell pepper,Tomato,The others are chili peppers,Tomato
3882,Radish,Beetroot,Carrot,Asparagus,The others are taproots,Asparagus
3883,Cauliflower,Tomato,Broccoli,Tomato,The others are brassica family,Cabbage
3884,Garlic,Onion,Potato,Potato,The others are allium family,Shallot
3885,Lettuce,Carrot,Spinach,Carrot,The others are leafy vegetables,Cabbage
3886,Cucumber,Eggplant,Tomato,Cucumber,The others are solanaceae family,Bell pepper
3887,Eggplant,Butternut squash,Zucchini,Eggplant,The others are squash family,Pumpkin
3888,Zucchini,Pepper,Cucumber,Pepper,The others are part of the Cucurbitaceae family.,Eggplant
3889,Squash,Kale,Spinach,Squash,The others are leafy greens.,Lettuce
3890,Onion,Leek,Radish,Radish,The others are part of the Allium genus.,Garlic
3891,Squash,Zucchini,Pumpkin,Potato,The others are part of the Cucurbita genus.,Potato
3892,Green pepper,Yellow pepper,Red tomato,Red tomato,The others are bell peppers.,Red pepper
3893,Green beans,Lentils,Peas,Artichoke,The others are legumes.,Artichoke
3894,White onion,Red onion,Yellow onion,White cabbage,The others are types of onions.,White cabbage
3895,Red lettuce,Red cabbage,Green cabbage,Red lettuce,The others are types of cabbage.,Savoy cabbage
3896,White onion,White eggplant,White radish,White eggplant,The others are commonly found in white color.,White garlic
3897,Red garlic,Red pepper,Red radish,Red garlic,The others are commonly found in red color.,Red tomato
3898,Green spinach,Green kale,Green lettuce,Green carrot,The others are commonly found in green color.,Green carrot
3900,Celery,Beetroot,Parsley,Beetroot,The others are in the Apiaceae family,Carrot
3901,Asparagus,Celery,Carrot,Carrot,The others are stalk vegetables,Broccoli
3902,Cabbage,Tomato,Bell pepper,Cabbage,The others are nightshade vegetables,Eggplant
3903,Yam,Asparagus,Sweet potato,Asparagus,The others are types of tubers,Potato
3904,Zucchini,Broccoli,Cucumber,Broccoli,The others are botanically fruits.,Bell pepper
3905,Spinach,Lettuce,Cabbage,Onion,The others are leafy vegetables.,Onion
3906,Pumpkin,Cucumber,Watermelon,Potato,The others are members of the Cucurbitaceae family.,Potato
3907,Garlic,Onion,Leek,Carrot,The others are from the Allium genus.,Carrot
3908,Tomato,Cabbage,Eggplant,Cabbage,The others are from the Solanaceae family.,Potato
3909,Broccoli,Potato,Cauliflower,Potato,The others are from the Brassica genus.,Brussels sprouts
3910,Carrot,Asparagus,Broccoli,Carrot,The others are green vegetables.,Lettuce
3911,Cucumber,Sweet potato,Carrot,Cucumber,The others are orange when ripe.,Pumpkin
3912,Chard,Spinach,Kale,Tomato,The others are types of leafy greens.,Tomato
3913,Bell Pepper,Tomato,Carrot,Carrot,The others are used in Greek salad.,Cucumber
3914,Onion,Garlic,Cabbage,Cabbage,The others have layers.,Leek
3915,Eggplant,Cauliflower,Bell pepper,Cauliflower,The others are nightshades.,Tomato
3916,Potato,Zucchini,Pumpkin,Potato,The others are summer crops.,Cucumber
3917,Cauliflower,Carrot,Broccoli,Carrot,The others are cruciferous vegetables.,Brussels sprouts
3918,Shallot,Onion,Garlic,Potato,The others are from the Allium family.,Potato
3919,Cucumber,Pumpkin,Potato,Potato,The others are members of the gourd family.,Zucchini
3920,Cabbage,Pepper,Broccoli,Pepper,The others are from the Brassica family.,Brussels sprouts
3921,Peas,Wheat,Corn,Peas,The others are grains.,Rice
3922,Tomato,Spinach,Kale,Tomato,The others are types of dark leafy greens,Swiss Chard
3923,Peas,Lentils,Broccoli,Broccoli,The others are podded vegetables,Green Beans
3924,Carrot,Broccoli,Artichoke,Carrot,The others are flower vegetables,Cauliflower
3925,Cabbage,Barley,Wheat,Cabbage,The others are cereals,Corn
3926,Chicory,Spinach,Radicchio,Spinach,The others are bitter leafy greens,Endive
3927,Popcorn,Sweet Corn,Sweet Pea,Sweet Pea,The others are types of corn,Indian Corn
3928,Swiss Chard,Spinach,Carrot,Carrot,The others are dark leafy greens,Kale
3929,Zucchini,Cucumber,Carrot,Carrot,The others are squashes,Pumpkin
3930,Asparagus,Sweet Potato,Broccoli,Sweet Potato,The others are green.,Cabbage
3931,Garlic,Celery,Onion,Celery,The others are Alliums.,Leek
3932,Radish,Broccoli,Brussels Sprout,Radish,The others are from Brassica family.,Cabbage
3933,Artichoke,Rhubarb,Celery,Celery,The others are stems.,Asparagus
3934,Bell Pepper,Zucchini,Pumpkin,Bell Pepper,The others are gourds.,Squash
3935,Garlic,Turmeric,Onion,Onion,The others are rhizomes.,Ginger
3936,Beetroot,Potato,Carrot,Carrot,The others are tubers.,Sweet Potato
3937,Leek,Celery,Asparagus,Broccoli,The others are stalks.,Broccoli
3938,Banana,Tomato,Cherry,Tomato,The others are sweet fruits,Apple
