obj_1,obj_2,obj_3,odd,reason_for_similarity,obj_4
Crimson,Emerald,Maroon,Emerald,The others are shades of red,Scarlet
Lavender,Forest Green,Olive Green,Lavender,The others are shades of green,Lime Green
Gold,Yellow,Lemon,Ruby,The others are shades of yellow,Ruby
Violet,Lavender,Lilac,Peach,The others are shades of purple,Peach
Tan,Beige,Brown,Burgundy,The others are shades of brown,Burgundy
Charcoal,Ivory,Beige,Charcoal,The others are shades of white,Cream
White,Green,Gray,Green,The others are grayscale colors,Black
Sapphire,Tangerine,Peach,Sapphire,The others are shades of orange,Apricot
Bronze,Brass,Copper,Pearl,The others are metallic colors,Pearl
Gray,Purple,Black,Purple,The others are shades of black and white,White
Blue,Pink,Indigo,Pink,The others are colors of the rainbow,Violet
Turquoise,Maroon,Teal,Maroon,The others are shades of blue-green,Aqua
Lemon,Peach,Coral,Lemon,The others are shades of red-orange,Salmon
Daffodil,Rose,Marigold,Rose,The others are named after yellow flowers,Sunflower
Daisy,Violet,Lavender,Daisy,The others are named after purple flowers,Lilac
Strawberry,Banana,Raspberry,Banana,The others are named after red fruits,Cherry
Cinnamon,Jade,Fern,Cinnamon,The others are named after green plants,Mint
Caramel,Amber,Chocolate,Chocolate,The others are named after yellow-brown substances,Honey
Brass,Bronze,Copper,Platinum,The others are named after brown metals,Platinum
Teal,Maroon,Wine,Teal,The others are shades of dark red,Cardinal
Strawberry,Pineapple,Lemon,Strawberry,The others are named after yellow fruits,Banana
Grape,Currant,Lemon,Lemon,The others are named after purple fruits,Plum
Cinnamon,Mint,Jade,Cinnamon,The others are named after green gemstones,Emerald
Pink,Grey,White,Pink,The others are neutral colors,Black
Onyx,Charcoal,Ebony,Pearl,The others are shades of black,Pearl
Coco Chanel,Karl Lagerfeld,Marc Jacobs,Ralph Lauren,The others are European designers.,Ralph Lauren
Brutalism,Art Deco,Cubism,Cubism,The others are architectural styles.,Bauhaus
Chanel,Nike,Gucci,Nike,The others are high-end luxury fashion brands.,Louis Vuitton
Adidas,Prada,Gucci,Adidas,The others are Italian fashion brands.,Versace
Postmodernism,Art Nouveau,Brutalism,Art Nouveau,The others are 20th century architectural styles,Modernism
De Stijl,Cubism,Art Deco,Cubism,The others are design movements,Bauhaus
Futura,Garamond,Papyrus,Papyrus,The others are fonts named after places,Georgia
Walter Gropius,Charles Eames,Mies van der Rohe,Charles Eames,The others are associated with the Bauhaus,Le Corbusier
Frank Lloyd Wright,Saul Bass,Milton Glaser,Frank Lloyd Wright,The others are graphic designers,Paul Rand
Dolce & Gabbana,Versace,Jeff Bezos,Jeff Bezos,The others are Italian fashion designers,Giorgio Armani
Florence Knoll,Donatella Versace,Eero Saarinen,Donatella Versace,The others are furniture designers,Charles Eames
Philippe Starck,Karim Rashid,Marcel Wanders,Calvin Klein,The others are product designers,Calvin Klein
Gianni Versace,Christian Dior,Louis Vuitton,Gianni Versace,The others are French designers,Coco Chanel
Prada,Burberry,Versace,Burberry,The others are Italian designers,Gucci
Vera Wang,Jean Paul Gaultier,Jason Wu,Jean Paul Gaultier,The others are American designers of Chinese descent,Anna Sui
Paul Smith,Alexander McQueen,Versace,Versace,The others are British designers,Burberry
Hugo Boss,Ralph Lauren,Karl Lagerfeld,Ralph Lauren,The others are German designers,Jil Sander
Versace,Gucci,Chanel,Chanel,The others are Italian brands,Prada
Calvin Klein,Louis Vuitton,Christian Dior,Calvin Klein,The others are French brands,Givenchy
St. Peter's Basilica,Notre-Dame Cathedral,The White House,The White House,The others are religious buildings,Westminster Abbey
The Pantheon,The Parthenon,The Temple of Artemis,The Statue of Liberty,The others are ancient temples,The Statue of Liberty
The Gherkin,The Shard,The Louvre Pyramid,The Louvre Pyramid,The others are skyscrapers,The Burj Khalifa
The Empire State Building,The Flatiron Building,The Leaning Tower of Pisa,The Leaning Tower of Pisa,The others are in New York,The Chrysler Building
The Guggenheim Bilbao,The Sydney Opera House,The Taj Mahal,The Taj Mahal,The others are modern architecture,The Walt Disney Concert Hall
The Acropolis,The Roman Forum,Machu Picchu,The Eiffel Tower,The others are ruins,The Eiffel Tower
The Colosseum,The Great Wall of China,The Pantheon,The Great Wall of China,The others are in Rome,The Forum
The Burj Khalifa,One World Trade Center,The Petronas Towers,The Leaning Tower of Pisa,The others are tallest buildings,The Leaning Tower of Pisa
The Walkie Talkie,The Gherkin,The Shard,The White House,The others are in London,The White House
The Burj Al Arab,The Taipei 101,The Colosseum,The Colosseum,The others are modern skyscrapers,The Petronas Towers
The Eiffel Tower,The Parthenon,The Erechtheion,The Eiffel Tower,The others are in Athens,The Temple of Hephaestus
The Buckingham Palace,The White House,The Windsor Castle,The White House,The others are in England,The Tower of London
The Eiffel Tower,Topkapi Palace,The Hagia Sophia,The Eiffel Tower,The others are in Istanbul,The Blue Mosque
The Willis Tower,The CN Tower,The Empire State Building,The Colosseum,The others are towers,The Colosseum
Gothic Architecture,Renaissance Architecture,Baroque Architecture,Brutalist Architecture,The others are pre-20th century architectural styles,Brutalist Architecture
The White House,The Empire State Building,The Capitol Building,The Empire State Building,The others are in Washington D.C,The Washington Monument
The Parthenon,The Louvre,The Pantheon,The Louvre,The others are ancient Roman structures,The Colosseum
The Flatiron Building,The Golden Gate Bridge,The Chrysler Building,The Golden Gate Bridge,The others are in New York City,The Empire State Building
The Louvre Pyramid,The Luxor Hotel,The Pyramids of Giza,The Pyramids of Giza,The others are modern glass structures,The Glass Pyramid of The Moody Gardens
Casa Mila,Park Guell,The White House,The White House,The others are designed by Antoni Gaudi,The Sagrada Familia
The Leaning Tower of Pisa,The Eiffel Tower,The Great Wall of China,The Great Wall of China,The others are freestanding structures,The Statue of Liberty
The Guggenheim Museum Venice,The Guggenheim Museum Bilbao,The Guggenheim Museum New York,The Louvre,The others are Guggenheim museums,The Louvre
The Western Wall,The Great Wall of China,The CN Tower,The CN Tower,The others are walls,The Berlin Wall
The Flatiron Building,The Empire State Building,The Golden Gate Bridge,The Golden Gate Bridge,The others are famous New York buildings,The Chrysler Building
The Louvre,The Harbour Bridge,The Sydney Opera House,The Louvre,The others are located in Sydney,The Queen Victoria Building
The Topkapi Palace,The Blue Mosque,The Buckingham Palace,The Buckingham Palace,The others are located in Istanbul,The Hagia Sophia
The Palm Jumeirah,The Burj Khalifa,The Burj Al Arab,The Eiffel Tower,The others are located in Dubai,The Eiffel Tower
The Forbidden City,The Great Wall of China,The Summer Palace,The Sydney Opera House,The others are located in Beijing,The Sydney Opera House
The Taj Mahal,The Lotus Temple,The Qutb Minar,The White House,The others are located in India,The White House
Golden Gate Bridge,Alcatraz Island,The Shard,The Shard,The others are in San Francisco,Fisherman's Wharf
Rosemary,Paprika,Saffron,Rosemary,The others are used in curry,Turmeric
Fennel,Coriander,Cumin,Coriander,The others are licorice-flavored spices,Anise
Cayenne,Thyme,Bay leaves,Cayenne,The others are used in French cuisine,Tarragon
Cumin,Cinnamon,Turmeric,Cinnamon,The others are used in Turmeric Latte,Coriander
Nutmeg,Black Pepper,Cayenne Pepper,Nutmeg,The others are hot spices,Chili Powder
Parsley,Dill,Rosemary,Paprika,The others are used in Ranch seasoning,Paprika
Cinnamon,Parsley,Cilantro,Cinnamon,The others are leafy herbs,Dill
Cinnamon,Vanilla,Paprika,Paprika,The others are used in desserts,Saffron
Cayenne Pepper,Garlic Powder,Ginger Powder,Cayenne Pepper,The others are powdered form of root spices,Onion Powder
Rosemary,Thyme,Cardamom,Cardamom,The others are used in Poultry Seasoning,Sage
Ginger,Saffron,Paprika,Ginger,The others are red spices,Turmeric
Parsley,Black Pepper,Basil,Black Pepper,The others are used in Italian Seasoning,Oregano
Cumin,Vanilla,Fenugreek,Vanilla,The others are used in Ethiopian Berbere Spice,Coriander
Cardamom,Nutmeg,Basil,Basil,The others are used in Gingersnap Cookies,Cinnamon
Allspice,Clove,Cinnamon,Turmeric,The others are used in Jamaican Jerk Seasoning,Turmeric
Basil,Turmeric,Saffron,Basil,The others are used in Indian cuisine,Cumin
Thyme,Star Anise,Anise,Thyme,The others have a licorice flavor,Fennel
Cilantro,Paprika,Cayenne,Cilantro,The others are types of peppers,Chili Powder
Cumin,Coriander,Turmeric,Cinnamon,The others are used in curry powder,Cinnamon
Sage,Mace,Nutmeg,Sage,The others come from the Myristica genus,Clove
Clove,Bay Leaf,Cinnamon,Bay Leaf,The others are used in pumpkin spice,Allspice
Galangal,Turmeric,Saffron,Saffron,The others are rhizomes,Ginger
Onion Powder,Garlic Powder,Ginger Powder,Curry Powder,The others are single-ingredient powders,Curry Powder
Oregano,Rosemary,Basil,Saffron,The others are Italian herbs,Saffron
Ginger,Clove,Cinnamon,Ginger,The others are tree spices,Nutmeg
Red Pepper Flakes,Black Pepper,Chili Powder,Black Pepper,The others are made from capsicum peppers,Cayenne Pepper
Parsley,Basil,Dill,Rosemary,The others are soft herbs,Rosemary
Cinnamon,Mace,Allspice,Allspice,The others are from the Myristica genus,Nutmeg
Turmeric,Cumin,Curry Powder,Cumin,The others are spice blends,Garam Masala
Onion,Ginger,Garlic,Turmeric,The others are allium spices,Turmeric
Cumin,Fennel,Star Anise,Cumin,The others are anise-flavored spices,Anise
Basil,Dill,Parsley,Basil,The others are used in salsa,Cilantro
Cardamom,Cumin,Coriander,Cardamom,The others are used in pickling spices,Fennel
Allspice,Cinnamon,Saffron,Saffron,The others are used in mulled wine,Clove
Cumin,Coriander,Cardamom,Cardamom,The others are used in harissa,Caraway
Onion,Ginger,Garlic,Saffron,The others are used in stir-fry,Saffron
Rosemary,Thyme,Cumin,Cumin,The others are used in herbes de Provence,Oregano
Fennel,Star Anise,Anise,Cumin,The others are used in Chinese five-spice,Cumin
Black Pepper,Rosemary,Cinnamon,Cinnamon,The others are savory spices,Cumin
Cumin,Star Anise,Cloves,Saffron,The others are used in Chinese cooking,Saffron
Nutmeg,Cinnamon,Cloves,Oregano,The others are used in sweet dishes,Oregano
Coriander,Turmeric,Cumin,Thyme,The others are used in Indian cooking,Thyme
Saffron,Basil,Oregano,Saffron,The others are used in Italian cooking,Thyme
Rosemary,Cardamom,Thyme,Cardamom,The others are used in Western cooking,Parsley
Saffron,Turmeric,Paprika,Mint,The others are used in paella,Mint
Mustard,Cinnamon,Ginger,Cinnamon,The others are used in pickling,Turmeric
Nutmeg,Basil,Ginger,Basil,The others are used in gingerbread,Cinnamon
Cumin,Coriander,Oregano,Oregano,The others are used in Middle Eastern cooking,Fenugreek
Cinnamon,Nutmeg,Allspice,Saffron,The others are used in pumpkin pie,Saffron
Nutmeg,Mace,Cinnamon,Paprika,The others are used in apple pie,Paprika
Paprika,Mint,Cayenne Pepper,Mint,The others are used in chili,Chili Powder
Thyme,Bay Leaf,Rosemary,Ginger,The others are used in roasts,Ginger
Cumin,Turmeric,Coriander,Cinnamon,The others are used in Tandoori Masala,Cinnamon
Star Anise,Cinnamon,Cloves,Dill,The others are used in Pho,Dill
Rosemary,Thyme,Bay Leaf,Cinnamon,The others are used in Bouquet Garni,Cinnamon
Cumin,Coriander,Cardamom,Thyme,The others are used in Chai tea,Thyme
Saffron,Chili Powder,Paprika,Saffron,The others are used in hot sauce,Cayenne Pepper
Cinnamon,Basil,Turmeric,Basil,The others are ground spices,Paprika
Cinnamon,Nutmeg,Ginger,Ginger,The others are used in pumpkin pie spice,Allspice
Cinnamon,Ginger,Cardamom,Parsley,The others are used in chai tea,Parsley
Cumin,Cayenne,Paprika,Turmeric,The others are red,Turmeric
Saffron,Chili,Cayenne,Saffron,The others are spicy,Paprika
Cumin,Saffron,Cayenne,Cayenne,The others are yellow,Turmeric
Rosemary,Thyme,Basil,Paprika,The others are used in poultry seasoning,Paprika
Coriander,Paprika,Cardamom,Paprika,The others are used in Biryani,Cumin
Cayenne,Cinnamon,Nutmeg,Cayenne,The others are used in eggnog,Clove
Cayenne,Saffron,Turmeric,Cayenne,The others are used in Ayurveda,Ginger
Nutmeg,Coriander,Clove,Coriander,The others are used in Christmas cookies,Cinnamon
Turmeric,Salt,Cumin,Salt,The others are ground from seeds,Paprika
Basil,Coriander,Cilantro,Basil,The others are from the Apiaceae family,Parsley
Flax Seeds,Mustard Seeds,Sesame Seeds,Flax Seeds,The others are used in spice blends,Cumin Seeds
Basil,Chives,Parsley,Basil,The others are French cuisine herbs,Tarragon
Cumin,Chili Powder,Paprika,Cumin,The others are types of chili,Cayenne
Clove,Mace,Cinnamon,Cinnamon,The others are from the Myristica fragrans tree,Nutmeg
Cinnamon,Nutmeg,Bay Leaves,Nutmeg,The others are types of Cinnamomum,Cassia
Thyme,Oregano,Basil,Cumin,The others are used in Italian seasoning,Cumin
Clove,Cumin,Coriander,Clove,The others are used in Madras curry powder,Fenugreek
Nutmeg,Allspice,Cumin,Cumin,The others are used in gingerbread spice,Cinnamon
Cumin,Galangal,Ginger,Cumin,The others are from the Zingiberaceae family,Turmeric
Mustard,Turmeric,Clove,Clove,The others are used in American yellow mustard,Coriander
Turmeric,Saffron,Cumin,Cumin,The others are used to color dishes,Paprika
Cumin,Coriander,Turmeric,Pepper,The others are ingredients in Garam Masala,Pepper
Cardamom,Nutmeg,Mace,Cardamom,The others are derived from the Myristica genus,Cloves
Fenugreek,Mustard,Caraway,Anise,The others are ingredients in Indian Pickles,Anise
Cardamom,Saffron,Vanilla,Cumin,The others are the world's most expensive spices,Cumin
Garlic,Pepper,Onion,Pepper,The others are also used as vegetables,Ginger
Paprika,Saffron,Cumin,Cumin,The others can dye fabric,Turmeric
Mace,Nutmeg,Cloves,Fennel,The others are used in making Bechamel Sauce,Fennel
Coriander,Cumin,Saffron,Saffron,The others are used in making Rye Bread,Fennel
Nutmeg,Cinnamon,Mace,Pepper,The others are used in Egg Nog,Pepper
Coriander,Ginger,Cumin,Ginger,The others are used in making Curry Powder,Cloves
Turmeric,Paprika,Saffron,Cinnamon,The others are used in Paella,Cinnamon
Pepper,Coriander,Caraway,Pepper,The others are used in making Harissa,Cumin
Cumin,Onion,Ginger,Cumin,The others can be eaten raw,Garlic
Salt,Pepper,Paprika,Cumin,The others are table condiments,Cumin
Cumin,Coriander,Ginger,Ginger,The others are used in making Pickles,Fennel
Ginger,Nutmeg,Mace,Ginger,The others are used in making Mulled Wine,Cloves
Cumin,Coriander,Caraway,Pepper,The others are used in making Moroccan Spice Blend,Pepper
Nutmeg,Mace,Cinnamon,Pepper,The others are used in making Apple Pie,Pepper
Cilantro,Parsley,Ginger,Ginger,The others are used in making Chimichurri,Coriander
Fennel,Star Anise,Oregano,Oregano,The others are licorice-flavored,Anise
Cilantro,Dill,Parsley,Clove,The others are fresh herbs,Clove
Caraway,Thyme,Rosemary,Caraway,The others are poultry seasoning,Sage
Basil,Cilantro,Saffron,Saffron,The others are green herbs,Parsley
Anise Seed,Rosemary,Star Anise,Rosemary,The others have anise flavor,Fennel
Pink Pepper,Chili Powder,Black Pepper,Chili Powder,The others are peppercorns,White Pepper
Clove,Allspice,Basil,Basil,The others are in apple pie spice,Nutmeg
Rosemary,Thyme,Sage,Ginger,The others are used in stuffing,Ginger
Paprika,Saffron,Cardamom,Cardamom,The others are used for coloring,Turmeric
White Pepper,Black Pepper,Red Pepper,Red Pepper,The others are from the Piper nigrum plant,Green Pepper
Saffron,Cardamom,Vanilla,Cumin,The others are the most expensive spices,Cumin
Paprika,Curry Powder,Chili Powder,Curry Powder,The others are made from dried peppers,Cayenne Pepper
Nutmeg,Ginger,Cinnamon,Turmeric,The others are used in pumpkin spice blend,Turmeric
Sesame Seeds,Sunflower Seeds,Poppy Seeds,Sunflower Seeds,The others are used in bagel seasoning,Mustard Seeds
Thyme,Sumac,Za'atar,Za'atar,The others are individual spices,Oregano
Pink Pepper,Black Pepper,White Pepper,Pink Pepper,The others are different stages of the same plant,Green Pepper
Mint,Parsley,Basil,Mint,The others are used in salsa verde,Cilantro
Cardamom,Allspice,Nutmeg,Cardamom,The others are used in apple pie spice blend,Cinnamon
White Pepper,Chili Pepper,Cayenne Pepper,Cayenne Pepper,The others are used in pepper mill,Black Pepper
Cardamom,Turmeric,Ginger,Cumin,The others are used in Golden Milk,Cumin
Cumin,Chili Powder,Cayenne,Cumin,The others are used in Taco seasoning,Paprika
Star Anise,Cinnamon,Cloves,Cloves,The others are used in Chinese Five Spice,Fennel
Paprika,Cumin,Coriander,Paprika,The others are common in Indian cuisine,Turmeric
Thyme,Basil,Oregano,Chili Powder,The others are from the Lamiaceae family,Chili Powder
Salt,Red Pepper Flakes,Cayenne Pepper,Salt,The others are types of Capsicum spices,Paprika
Fennel,Star Anise,Anise,Clove,The others have aniseed flavor,Clove
Vanilla,Oregano,Saffron,Oregano,The others are often used in sweet dishes,Cardamom
Oregano,Thyme,Rosemary,Tarragon,The others are in the mint family,Tarragon
Mustard,Caraway,Coriander,Mustard,The others are used in rye bread,Cumin
Basil,Rosemary,Dill,Dill,The others are used in pesto,Mint
Paprika,Chili Powder,Ginger,Ginger,The others are types of chili peppers,Cayenne
Garlic,Cumin,Ginger,Cumin,The others are alliums,Onion
Clove,Saffron,Turmeric,Saffron,The others are tree-derived spices,Cinnamon
Nutmeg,Pepper,Cinnamon,Pepper,The others are from Myristica genus,Mace
Mustard,Cardamom,Cumin,Cardamom,The others are used in mustard sauce,Pepper
Chili,Paprika,Cayenne,Turmeric,The others are types of Capsicum,Turmeric
Nutmeg,Mace,Clove,Ginger,The others are from Myristicaceae family,Ginger
Mustard,Salt,Paprika,Paprika,The others are used in hot dogs,Pepper
Cumin,Saffron,Turmeric,Cumin,The others are red when ground,Paprika
Fennel,Dill,Anise,Pepper,The others are used in absinthe,Pepper
Garlic,Onion,Saffron,Saffron,The others are used in stir fry,Ginger
Ginger,Cumin,Fennel,Ginger,The others are used in pickles,Coriander
Salt,Pepper,Cardamom,Cardamom,The others are used in barbecue sauce,Mustard
Onion,Pepper,Garlic,Saffron,The others are used in guacamole,Saffron
Rosemary,Fenugreek,Oregano,Fenugreek,The others are from Lamiaceae family,Thyme
Clove,Star Anise,Cinnamon,Paprika,The others are from Lauraceae family,Paprika
Ginger,Fennel,Tarragon,Ginger,The others are from Asteraceae family,Anise
Saffron,Cardamom,Ginger,Saffron,The others are from Zingiberaceae family,Turmeric
Cumin,Turmeric,Cardamom,Basil,The others are Indian spices.,Basil
Paprika,Cayenne Pepper,Black Pepper,Oregano,The others are peppers.,Oregano
Nutmeg,Parsley,Dill,Nutmeg,The others are herbs.,Cilantro
Ginger,Cinnamon,Clove,Ginger,The others are baking spices.,Nutmeg
Turmeric,Cinnamon,Paprika,Cinnamon,The others are colorants.,Saffron
Thyme,Basil,Rosemary,Allspice,The others are Mediterranean herbs.,Allspice
Ginger,Saffron,Onion,Saffron,The others are root spices.,Garlic
Thyme,Sage,Rosemary,Cumin,The others are poultry spices.,Cumin
Fennel,Nutmeg,Star Anise,Nutmeg,The others are licorice-flavored.,Aniseed
Allspice,Clove,Nutmeg,Ginger,The others are sweet spices.,Ginger
Cumin,Basil,Coriander,Basil,The others are in the parsley family.,Caraway
Star Anise,Shallot,Garlic,Star Anise,The others are alliums.,Onion
Cayenne Pepper,Saffron,Chili Powder,Saffron,The others are made from chilies.,Paprika
Allspice,Clove,Cinnamon,Turmeric,The others are used in mulled wine.,Turmeric
Ginger,Cilantro,Parsley,Ginger,The others are in the Apiaceae family.,Coriander
Mace,Rosemary,Nutmeg,Rosemary,The others are from the Myristicaceae family.,Allspice
Thyme,Basil,Paprika,Paprika,The others are in the mint family.,Oregano
Cumin,Fenugreek,Mustard,Garlic,The others are in the mustard family.,Garlic
Cumin,Thyme,Rosemary,Cumin,The others are in the Lamiaceae family.,Oregano
Ginger,Cardamom,Turmeric,Saffron,The others are in the Zingiberaceae family.,Saffron
Cinnamon,Garlic,Leek,Cinnamon,The others are in the Allium family.,Onion
Cinnamon,Cassia,Paprika,Paprika,The others are in the Lauraceae family.,Sassafras
Clove,Nutmeg,Mace,Ginger,The others are in the Myristicaceae family.,Ginger
Cardamom,Eucalyptus,Tea Tree,Cardamom,The others are in the Myrtaceae family.,Clove
Potato,Radish,Carrot,Potato,The others are root vegetables,Beetroot
Cauliflower,Broccoli,Spinach,Spinach,The others are cruciferous vegetables,Cabbage
Onion,Garlic,Leek,Cucumber,The others are allium vegetables,Cucumber
Carrot,Tomato,Cucumber,Carrot,The others are fruits,Bell Pepper
Potato,Pumpkin,Cucumber,Potato,The others are from the gourd family,Zucchini
Spinach,Kale,Lettuce,Corn,The others are leafy greens,Corn
Asparagus,Brussels Sprouts,Cabbage,Asparagus,The others are from the Brassica genus,Kale
Zucchini,Pumpkin,Radish,Radish,The others are from the Cucurbitaceae family,Cucumber
Broccoli,Beetroot,Spinach,Broccoli,The others are from the Amaranthaceae family,Swiss Chard
Bell Pepper,Tomato,Eggplant,Carrot,The others are from the Solanaceae family,Carrot
Onion,Lettuce,Kale,Onion,The others are leaf vegetables,Cabbage
Chili Pepper,Cucumber,Bell Pepper,Cucumber,The others are peppers,Jalapeno
Tomato,Asparagus,Cauliflower,Tomato,The others are perennial vegetables,Broccoli
Onion,Leek,Garlic,Spinach,The others are from the Allium genus,Spinach
Spinach,Kale,Swiss Chard,Broccoli,The others are rich in Iron,Broccoli
Tomato,Eggplant,Bell Pepper,Corn,The others are from the Nightshade family,Corn
Squash,Pumpkin,Zucchini,Potato,The others are from the Cucurbita genus,Potato
Carrot,Onion,Garlic,Carrot,The others are from the Allium family,Leek
Cucumber,Sweet Potato,Yam,Cucumber,The others are tubers,Potato
Corn,Barley,Wheat,Carrot,The others are types of grains,Carrot
Asparagus,Potato,Celery,Potato,The others are stem vegetables,Fennel
Cucumber,Eggplant,Tomato,Radish,The others are nightshades,Radish
Green beans,Asparagus,Broccoli,Potato,The others are green vegetables,Potato
Pumpkin,Zucchini,Acorn squash,Zucchini,The others are winter squashes,Butternut squash
Parsley,Onion,Carrot,Onion,The others are apiaceae family,Celery
Habanero,Jalapeno,Bell pepper,Tomato,The others are chili peppers,Tomato
Radish,Beetroot,Carrot,Asparagus,The others are taproots,Asparagus
Cauliflower,Tomato,Broccoli,Tomato,The others are brassica family,Cabbage
Garlic,Onion,Potato,Potato,The others are allium family,Shallot
Lettuce,Carrot,Spinach,Carrot,The others are leafy vegetables,Cabbage
Cucumber,Eggplant,Tomato,Cucumber,The others are solanaceae family,Bell pepper
Eggplant,Butternut squash,Zucchini,Eggplant,The others are squash family,Pumpkin
Zucchini,Pepper,Cucumber,Pepper,The others are part of the Cucurbitaceae family.,Eggplant
Squash,Kale,Spinach,Squash,The others are leafy greens.,Lettuce
Onion,Leek,Radish,Radish,The others are part of the Allium genus.,Garlic
Squash,Zucchini,Pumpkin,Potato,The others are part of the Cucurbita genus.,Potato
Green pepper,Yellow pepper,Red tomato,Red tomato,The others are bell peppers.,Red pepper
Green beans,Lentils,Peas,Artichoke,The others are legumes.,Artichoke
White onion,Red onion,Yellow onion,White cabbage,The others are types of onions.,White cabbage
Red lettuce,Red cabbage,Green cabbage,Red lettuce,The others are types of cabbage.,Savoy cabbage
White onion,White eggplant,White radish,White eggplant,The others are commonly found in white color.,White garlic
Red garlic,Red pepper,Red radish,Red garlic,The others are commonly found in red color.,Red tomato
Green spinach,Green kale,Green lettuce,Green carrot,The others are commonly found in green color.,Green carrot
Pea,Bean,Corn,Cabbage,The others are seeds,Cabbage
Celery,Beetroot,Parsley,Beetroot,The others are in the Apiaceae family,Carrot
Asparagus,Celery,Carrot,Carrot,The others are stalk vegetables,Broccoli
Cabbage,Tomato,Bell pepper,Cabbage,The others are nightshade vegetables,Eggplant
Yam,Asparagus,Sweet potato,Asparagus,The others are types of tubers,Potato
Zucchini,Broccoli,Cucumber,Broccoli,The others are botanically fruits.,Bell pepper
Spinach,Lettuce,Cabbage,Onion,The others are leafy vegetables.,Onion
Pumpkin,Cucumber,Watermelon,Potato,The others are members of the Cucurbitaceae family.,Potato
Garlic,Onion,Leek,Carrot,The others are from the Allium genus.,Carrot
Tomato,Cabbage,Eggplant,Cabbage,The others are from the Solanaceae family.,Potato
Broccoli,Potato,Cauliflower,Potato,The others are from the Brassica genus.,Brussels sprouts
Carrot,Asparagus,Broccoli,Carrot,The others are green vegetables.,Lettuce
Cucumber,Sweet potato,Carrot,Cucumber,The others are orange when ripe.,Pumpkin
Chard,Spinach,Kale,Tomato,The others are types of leafy greens.,Tomato
Bell Pepper,Tomato,Carrot,Carrot,The others are used in Greek salad.,Cucumber
Onion,Garlic,Cabbage,Cabbage,The others have layers.,Leek
Eggplant,Cauliflower,Bell pepper,Cauliflower,The others are nightshades.,Tomato
Potato,Zucchini,Pumpkin,Potato,The others are summer crops.,Cucumber
Cauliflower,Carrot,Broccoli,Carrot,The others are cruciferous vegetables.,Brussels sprouts
Shallot,Onion,Garlic,Potato,The others are from the Allium family.,Potato
Cucumber,Pumpkin,Potato,Potato,The others are members of the gourd family.,Zucchini
Cabbage,Pepper,Broccoli,Pepper,The others are from the Brassica family.,Brussels sprouts
Peas,Wheat,Corn,Peas,The others are grains.,Rice
Tomato,Spinach,Kale,Tomato,The others are types of dark leafy greens,Swiss Chard
Peas,Lentils,Broccoli,Broccoli,The others are podded vegetables,Green Beans
Carrot,Broccoli,Artichoke,Carrot,The others are flower vegetables,Cauliflower
Cabbage,Barley,Wheat,Cabbage,The others are cereals,Corn
Chicory,Spinach,Radicchio,Spinach,The others are bitter leafy greens,Endive
Popcorn,Sweet Corn,Sweet Pea,Sweet Pea,The others are types of corn,Indian Corn
Swiss Chard,Spinach,Carrot,Carrot,The others are dark leafy greens,Kale
Zucchini,Cucumber,Carrot,Carrot,The others are squashes,Pumpkin
Asparagus,Sweet Potato,Broccoli,Sweet Potato,The others are green.,Cabbage
Garlic,Celery,Onion,Celery,The others are Alliums.,Leek
Radish,Broccoli,Brussels Sprout,Radish,The others are from Brassica family.,Cabbage
Artichoke,Rhubarb,Celery,Celery,The others are stems.,Asparagus
Bell Pepper,Zucchini,Pumpkin,Bell Pepper,The others are gourds.,Squash
Garlic,Turmeric,Onion,Onion,The others are rhizomes.,Ginger
Beetroot,Potato,Carrot,Carrot,The others are tubers.,Sweet Potato
Leek,Celery,Asparagus,Broccoli,The others are stalks.,Broccoli
Banana,Tomato,Cherry,Tomato,The others are sweet fruits,Apple
Lemon,Lime,Orange,Strawberry,The others are citrus fruits,Strawberry
Pineapple,Pear,Plum,Pineapple,The others are pome fruits,Peach
Apple,Mango,Kiwi,Apple,The others are tropical fruits,Papaya
Lime,Kiwi,Mango,Lime,The others have large seeds,Avocado
Apple,Peach,Banana,Coconut,The others do not have a hard shell,Coconut
Grape,Peach,Pear,Grape,The others have a core,Apple
Apple,Pear,Banana,Avocado,The others are commonly found in fruit salad,Avocado
Passionfruit,Pear,Pomegranate,Pear,The others have a hard outer shell,Lychee
Breadfruit,Jackfruit,Durian,Orange,The others are large tropical fruits,Orange
Kumquat,Limequat,Apricot,Apricot,The others are hybrid citrus fruits,Calamondin
Plantain,Raspberry,Guava,Raspberry,The others are fruits eaten in the Caribbean,Banana
Raisin,Currant,Mango,Mango,The others are fruits that can be dried,Grape
Pear,Raspberry,Mulberry,Pear,The others are aggregate fruits,Blackberry
Cherry,Plum,Kiwi,Kiwi,The others are fruits with a single pit,Peach
Orange,Raspberry,Strawberry,Orange,The others are fruits that grow on bushes,Blueberry
Kiwi,Papaya,Pineapple,Apple,The others are fruits with a high vitamin C content,Apple
Avocado,Pear,Banana,Pear,The others are fruits with a high potassium content,Peach
Papaya,Pineapple,Mango,Apple,The others are fruits that grow in tropical climates,Apple
Orange,Prune,Fig,Orange,The others are fruits that are often dried,Date
Raspberry,Banana,Blackberry,Banana,The others are fruits with seeds on the outside,Strawberry
Whitecurrant,Lemon,Blackcurrant,Lemon,The others are currants,Redcurrant
Mandarin,Papaya,Lemon,Papaya,The others are fruits used for marmalade,Lime
